weight,attndperrls,attndonrls,educrec,inc_sdt1,hisp,racecmb,gender,birthdecade
5376.667037178062,5,6,3,5,2,5,2,6
4739.55221693029,6,6,3,6,2,1,2,6
1657.7604998004306,4,5,4,99,2,9,99,99
8519.07268341835,6,6,3,8,2,1,1,4
4010.611721658038,6,6,2,2,2,1,2,3
2327.2404511232403,5,6,4,5,2,1,1,1
11553.853355589681,5,5,1,5,2,1,1,5
1411.4188365332086,6,6,3,7,2,1,2,4
7350.99439185092,3,2,3,4,2,2,1,3
8968.102550582631,6,6,2,5,2,1,2,4
6146.676938948151,3,6,3,5,2,1,1,3
15431.152640879014,5,6,2,2,1,1,1,6
2702.21682572382,6,6,3,7,2,1,2,6
3428.874434351778,6,6,2,8,2,1,2,4
3704.129488436045,6,6,3,2,2,1,1,5
11195.65285398571,4,5,3,6,2,3,1,3
1753.4545192915814,6,6,3,4,2,1,1,4
4716.149561386203,5,6,3,4,2,4,1,6
2324.4012744056404,3,3,3,8,2,1,1,1
3873.1949750889435,6,6,4,4,2,1,2,5
13203.672648125517,2,6,1,1,2,1,2,6
1101.7755883612447,2,5,2,8,2,1,2,3
7987.004444963225,4,3,2,6,2,1,2,2
3756.0392119389758,6,6,2,4,2,1,1,2
459.15114514481786,4,5,1,1,2,1,1,1
5708.197723358233,3,2,4,5,2,3,2,3
2534.4531325642174,5,5,4,4,2,3,1,6
7400.466935738295,5,6,2,8,2,1,1,2
4685.210839929215,2,1,3,2,1,1,2,4
7887.138797414682,2,4,3,2,1,5,2,6
6200.718227208636,5,6,2,2,2,1,2,4
1367.3763838069399,4,5,4,7,2,3,1,3
6598.369773631461,3,3,2,4,2,2,2,4
3446.000176428983,2,1,3,4,2,4,2,2
8147.119685700592,5,5,2,1,2,1,1,1
7445.449231773944,6,6,3,3,1,1,2,7
7860.718248162898,6,6,3,6,2,1,2,6
2160.254760070162,6,4,4,3,2,1,2,1
3956.7259061150685,6,6,2,1,2,1,2,2
6278.809851449365,5,6,4,8,2,1,1,4
2509.233924888726,6,6,2,7,2,1,1,4
3361.2125983201518,6,6,2,1,2,1,1,3
5986.05625584796,4,5,3,5,2,1,2,6
9836.324866865416,2,2,2,1,99,9,2,5
2486.345505876576,2,5,3,4,1,1,1,6
6468.622050847945,6,6,4,7,2,1,1,3
25182.11875571402,5,6,1,1,2,1,1,6
5008.3777153015135,5,6,4,5,2,1,2,4
1761.9337771812634,5,5,3,5,2,1,1,1
2531.8298488244463,2,2,2,2,2,1,2,3
2711.11445597244,6,6,2,1,2,2,3,5
4842.841445537072,5,6,2,1,2,1,2,4
778.1061358525641,6,6,4,8,2,1,2,3
3667.9520864155365,3,2,3,5,2,1,2,2
34437.81396436372,3,4,1,5,2,1,2,5
10143.435899495207,5,2,1,1,2,5,2,3
4371.883473622044,1,4,3,8,2,1,1,3
1724.7177821802998,2,3,2,8,2,1,2,4
8949.37642231472,5,2,3,2,1,1,2,5
12390.167054466632,6,6,1,5,2,1,3,2
13625.066336387477,3,2,1,1,2,1,2,1
56612.75977730597,1,1,1,6,1,1,1,6
11967.787179764926,4,4,1,3,2,1,3,7
8405.198587766386,1,5,2,3,2,4,2,3
3128.004943492608,5,6,2,7,2,5,1,1
853.1087200517403,2,3,4,5,2,1,1,5
11446.470859224297,2,3,3,2,2,1,1,6
1955.1161092990617,6,6,3,3,2,1,2,3
5873.2280995791025,2,6,3,4,2,1,2,1
4750.644988869989,4,6,4,5,2,1,2,4
4859.793829640714,2,4,3,8,2,1,2,5
11935.175717715527,2,99,2,4,2,2,1,1
4237.639140857599,4,5,4,6,2,1,1,6
8805.89652087378,6,6,2,99,2,9,1,1
2285.7102394110516,2,5,3,8,2,1,2,6
7166.243291230928,6,6,1,1,1,1,2,6
10217.407292907672,5,3,1,1,2,1,1,1
38770.12500642758,5,5,3,8,2,1,1,6
719.7702535294198,5,6,4,7,2,1,1,2
14238.543567729905,4,4,1,99,1,9,1,3
14573.965726555994,5,6,2,99,2,9,1,5
4450.174230880921,3,6,3,7,2,4,2,5
2457.416844603853,4,4,2,2,2,3,2,4
2902.788166849162,5,6,2,5,2,2,1,2
10812.952919303074,2,6,1,3,2,1,2,2
12389.42670200266,6,6,1,3,2,1,1,3
6768.285294046951,3,5,1,2,2,1,2,2
1687.1267880721489,6,6,3,5,2,1,2,7
718.0341581833353,5,6,4,3,2,1,1,2
3631.6552355264453,5,6,4,8,2,1,2,3
3689.9745534247168,6,6,3,7,2,1,1,6
19277.584775466566,6,6,1,7,1,1,2,4
4053.2244474529075,6,5,1,7,2,1,2,4
6105.236478357633,6,6,2,8,2,1,1,4
4529.383371021862,6,6,2,1,2,1,3,4
6146.339271323645,1,3,2,1,2,2,2,2
1693.1681854181038,4,1,4,4,2,1,2,2
7939.976486587359,2,1,2,5,2,1,2,1
4071.705720337734,5,6,3,7,2,2,2,3
2662.146535284037,2,5,3,99,2,5,1,4
3697.771269646765,5,3,2,1,2,1,2,5
6996.714832026822,4,5,3,7,2,1,2,2
3391.6452573395013,5,5,3,8,2,9,2,4
2062.4327904782263,3,6,3,5,2,1,2,4
8600.115019111361,2,6,4,5,2,1,2,5
4599.368965600139,6,6,3,4,2,1,2,5
41736.78012588002,4,6,1,8,1,9,2,3
5623.946420573169,2,3,2,6,2,1,1,3
2871.4685745031547,2,2,2,99,2,1,2,99
7761.879545171194,1,1,1,3,2,1,2,1
11122.908004255745,2,6,2,1,2,4,1,3
3281.304155288802,5,6,4,3,2,1,1,1
2366.451947159932,5,6,2,3,2,1,2,5
3450.054501477704,6,6,2,1,2,1,2,2
2253.60454762576,6,6,3,8,2,4,2,4
22020.05248954141,6,6,3,2,2,1,2,6
