city,state,church,total_members,additions,losses,ruling_elders,deacons,tithes_offerings,building_fund_offering,total_contributions,other_income,total_church_income,current_expenses,building_fund_disbursed,grand_total_disbursements,per_capita_giving
Zachary,LA,Plains Presbyterian Church,348,0,0,NA,NA,743104,NA,743104,NA,743104,812368,NA,929608,2673.03597122302
Eutaw,AL,Pleasant Ridge Presbyterian Church,20,0,5,2,2,9814,6500,18459,1920,20379,8704,0,14269,922.95
DeKalb,MS,Pleasant Springs Presbyterian Church,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clayton,AL,Pleasant View Presbyterian Church,21,0,1,4,2,13848,0,13848,0,13848,11447,0,11447,1154
Fraziers Bottom,WV,Pliny Presbyterian Church,14,2,0,4,0,16215,0,16215,0,16215,11125,0,18425,1158.21428571429
Charleston,SC,Point Hope Presbyterian Church,24,1,1,0,0,140000,NA,525000,NA,525000,415000,NA,419500,23863.6363636364
Pollock,SD,Pollock Memorial Presbyterian Church,120,4,6,5,4,150331,0,165276,24,165300,154011,24045,212127,1544.63551401869
Atlanta,GA,Ponce Presbyterian Church,185,23,21,9,2,NA,NA,0,NA,0,NA,NA,0,0
Ponte Vedra Beach,FL,Ponte Vedra Presbyterian Church,513,32,109,8,NA,1347611,96061,1517721,23823,1541544,1469163,NA,1539371,2958.52046783626
Leesburg,VA,Potomac Hills Presbyterian Church,166,14,10,4,6,574357,NA,594456,NA,594456,475313,NA,534378,4276.6618705036
Spartanburg,SC,Powell Presbyterian Church,41,0,0,4,1,111344,NA,113517,NA,113517,80740,26997,117730,3068.02702702703
Prentiss,MS,Prentiss Presbyterian Church,188,10,5,5,7,NA,NA,0,NA,0,NA,NA,0,0
Coventry,CT,Presbyterian Church of Coventry,186,19,22,7,6,452930,NA,480119,NA,480119,NA,NA,63007,3222.27516778523
Manchester,CT,Presbyterian Church of Manchester,131,4,3,5,3,353888,0,416342,0,416342,282329,0,355129,4429.17021276596
Pitcairn,PA,Presbyterian Church of Pitcairn,91,0,4,2,2,201734,2995,244158,4848,249006,183866,9947,229667,3590.55882352941
Wellsville,NY,Presbyterian Church of Wellsville,68,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryn Mawr,PA,Proclamation Presbyterian Church,508,13,41,15,7,2009921,23761,2121881,124959,2246840,1544445,94644,2042008,5540.1592689295
Mount Joy,PA,Proclamation Presbyterian Church,272,7,18,6,3,552858,NA,552858,NA,552858,NA,NA,0,3071.43333333333
Princeton,NC,Progressive Presbyterian Church,57,10,0,3,1,100708,NA,100708,NA,100708,108821,NA,114662,1831.05454545455
Charlotte,NC,Prosperity Presbyterian Church,80,5,9,3,3,187384,NA,187384,NA,187384,167384,NA,184994,2839.15151515152
Cape Coral,FL,Providence Christian Church,199,14,5,4,5,514450,22076,552949,97503,650452,578847,NA,619095,3141.75568181818
Barboursville,WV,Providence Church,43,7,6,4,2,124385,NA,124385,NA,124385,119804,NA,141129,3273.28947368421
Murphy,NC,Providence Church PCA,45,8,5,2,3,124481,16000,140481,0,140481,120679,NA,147438,3121.8
St. Catharines,ON,Providence Community Church,292,0,0,3,1,315838,0,342493,5696,348189,311821,0,349010,2195.46794871795
Toccoa,GA,Providence Presbyterian (Mission) Church,1,1,0,3,0,NA,NA,0,NA,0,NA,NA,0,0
Roanoke,VA,Providence Presbyterian Church,95,1,0,2,2,289334,100000,389334,145,389479,206448,NA,206448,4806.59259259259
Christiansburg,VA,Providence Presbyterian Church,142,14,7,3,2,228145,28650,256795,3137,259932,170840,12000,219000,2703.10526315789
Troy,IL,Providence Presbyterian Church,139,15,0,4,4,330832,169146,502311,14131,516442,255689,49504,338693,5023.11
Quakertown,PA,Providence Presbyterian Church,235,24,10,6,4,479381,NA,479381,NA,479381,313980,35986,392831,2445.82142857143
Montgomery,AL,Providence Presbyterian Church,44,0,0,3,2,22312,0,26515,297,26812,20458,0,22266,602.613636363636
Spartanburg,SC,Providence Presbyterian Church,118,4,3,4,5,170473,0,170473,297,170770,152887,0,171666,2272.97333333333
