weight,trad,income,pid7,vote_2024,race,educ
0.183600797949189,Nothing in Particular,7,1,1,1,4
0.4439615606696335,Nothing in Particular,9,1,1,1,3
0.4954864692388671,White Catholic,6,7,2,1,2
1.092016210410139,Nothing in Particular,1,1,2,1,2
0.001762124396222958,Nothing in Particular,9,1,1,1,3
1.777486414221999,Nonwhite Catholic,11,1,1,7,5
0.7699205446420835,Nothing in Particular,5,4,2,4,5
0.227652984978734,White Catholic,2,7,2,1,3
0.6085066529192261,Something Else,2,7,2,1,3
0.5307873883375454,White Catholic,8,7,2,1,4
2.023789721654716,Orthodox Christian,9,7,2,1,5
12.371750415476107,Muslim,1,1,1,1,2
0.002199555443265259,White Catholic,6,2,1,1,2
0.1806917907909415,White Evangelical,8,2,1,1,2
0.1375497554289604,Nonwhite Catholic,6,6,2,3,3
0.4030914281771765,White Catholic,7,1,1,1,3
13.440766200221459,Nothing in Particular,1,3,1,1,2
0.1144926589179365,Nothing in Particular,5,1,NA,1,2
1.731897419632692e-4,Nothing in Particular,1,5,NA,1,3
0.2766333867796321,Jewish,11,6,2,3,3
0.03389050722239842,White Mainline,6,3,1,1,2
0.2974464956289217,Black Protestant,1,4,3,2,3
1.053293319656744,Nothing in Particular,2,4,NA,6,4
2.05568708332144,Nothing in Particular,1,1,NA,3,2
0.8267583414642716,White Evangelical,3,4,1,1,2
0.9121941224540927,Black Protestant,4,5,2,2,3
0.006951236779432968,Nothing in Particular,1,7,2,2,2
0.1579325833840465,Something Else,1,4,4,6,4
0.3996408653851701,White Catholic,2,3,1,1,2
0.4197156573063325,White Catholic,3,4,2,1,1
0.5297541658164653,Nothing in Particular,3,1,1,1,3
0.4969858666089613,Nonwhite Catholic,9,1,1,4,5
1.000611367365288e-4,Nothing in Particular,8,4,4,2,6
0.2447241052533195,Atheist,10,3,1,3,3
0.384188935420048,Black Protestant,2,2,1,2,3
0.13104105775784539,Nonwhite Catholic,9,7,2,3,5
0.2260063084239333,Nothing in Particular,2,4,1,3,2
1.29139566958366,Nonwhite Evangelical,10,7,2,5,6
1.208373311049287e-4,Nothing in Particular,4,4,NA,1,2
8.191691108623488e-4,Black Protestant,4,3,NA,2,2
0.8316091207438212,Atheist,11,1,1,1,5
0.07673507596556518,White Evangelical,1,6,NA,1,2
0.001467091831705049,Nothing in Particular,8,5,2,2,4
0.07282101090615327,Something Else,4,7,8,5,3
1.169412802881439,White Mainline,8,5,2,1,4
0.756892578775968,Atheist,3,1,1,1,2
0.07311015069568103,Atheist,4,1,1,1,2
1.152606749805158e-4,Nothing in Particular,5,3,1,1,5
0.5623292103880695,Agnostic,9,1,1,1,5
0.5033840978826362,Something Else,9,4,1,1,3
0.4591642868752759,Nothing in Particular,8,1,1,1,4
1.127267010348331,Nothing in Particular,8,2,2,2,3
0.6241245794988236,Something Else,3,7,2,7,3
1.77110029573537,Nothing in Particular,9,1,1,1,4
1.175090722631851,White Evangelical,6,1,1,1,2
0.01594880470738722,Nonwhite Catholic,3,1,1,3,2
1.117856539012097,Agnostic,4,6,2,6,3
0.03569642244676904,Black Protestant,1,1,1,2,2
0.2192576644901263,Nonwhite Catholic,3,1,1,3,3
0.6575195541708574,Black Protestant,8,2,1,2,6
0.260414446417703,Orthodox Christian,4,4,5,2,3
0.3636693067942394,Atheist,7,2,1,1,5
2.464320895476473,Agnostic,1,4,NA,1,2
0.3659398103748298,Nothing in Particular,6,5,2,1,2
1.096929542835196,Something Else,5,7,2,1,2
2.176222758198625,Something Else,6,5,2,7,3
2.393307159848737,Nothing in Particular,2,1,1,2,2
0.2366331048399888,Atheist,8,1,1,1,1
0.2341744954409675,White Evangelical,12,3,1,1,2
0.1310947914703364,Agnostic,9,8,1,1,6
3.37575297785066,Nonwhite Evangelical,3,8,NA,6,3
0.2225945501018735,Nothing in Particular,4,1,1,2,3
0.4353468981393744,White Catholic,3,3,1,1,2
0.2977159424146907,White Evangelical,9,7,2,1,2
0.06170562828127799,Atheist,5,4,5,1,4
1.706583157187222,White Catholic,11,7,2,1,5
0.7145056220681708,Black Protestant,4,3,1,2,5
0.001357028483152287,Agnostic,9,3,1,7,3
0.4053353530008295,Nothing in Particular,12,5,2,1,2
1.035803866633598,Something Else,5,7,2,1,2
