year,birthyr,age,weight,trad
2024,1958,66,0.594040610642699,Other Baptist
2024,1958,66,0.594040610642699,Other Reformed
2024,1957,67,0.197229587442019,Gen. Assoc. of Reg. Bapt.
2024,1957,67,0.197229587442019,United Methodist
2024,1949,75,0.439538572068411,Community Church
2024,1971,53,1.25555921205766,African Methodist Episcopal
2024,1947,77,2.28600464340707,United Methodist
2024,1947,77,2.28600464340707,Community Church
2024,1960,64,0.0704814064438403,Other Nondenom
2024,1969,55,0.692167438114614,United Methodist
2024,1974,50,0.782360281352923,Southern Baptist
2024,1959,65,0.928633809532409,Lutheran - Missouri Synod
2024,1968,56,0.227120356379932,Southern Baptist
2024,1972,52,0.576770962392344,Other Baptist
2024,1984,40,0.301485114872152,Natl. Baptist Convention
2024,1979,45,0.737335169625007,Other Lutheran
2024,1950,74,1.7768789141581,Free Will Baptist
2024,1971,53,0.431050968960636,Baptist Miss. Association
2024,1962,62,0.830591731864752,Community Church
2024,1963,61,0.00418916673460679,Other Baptist
2024,1957,67,1.28421729361499,United Methodist
2024,1998,26,3.17693602524842,Nondenom Evangelical
2024,1961,63,1.86028662259048,Lutheran - Missouri Synod
2024,1937,87,4.073180922562,Conservative Bapt. Association
2024,1949,75,0.89768824086022,United Methodist
2024,1957,67,1.05735097197744,Other Baptist
2024,1957,67,1.05735097197744,Other Nondenom
2024,1957,67,1.05735097197744,Pentecostal Holiness Church
2024,1957,67,1.05735097197744,Other Christian Church
2024,1951,73,0.848080792366552,Other Cong.
2024,1994,30,0.565706523617378,Nondenom Evangelical
2024,1959,65,1.23483751387991,Other Baptist
2024,1959,65,1.23483751387991,Other Christian Church
2024,1962,62,0.00235517834756492,Free Will Baptist
2024,1971,53,0.954052939173924,Assemblies of God
2024,1946,78,0.991736262057157,Baptist Miss. Association
2024,1951,73,0.319256158921548,Lutheran - Missouri Synod
2024,1961,63,1.70853605538084,United Methodist
2024,1961,63,1.70853605538084,Other Nondenom
2024,1988,36,0.630728609692225,Other Nondenom
2024,1953,71,0.65777348105031,PCA
2024,1951,73,0.37763507217822,ABCUSA
2024,1951,73,0.37763507217822,Nondenom Fundamentalist
2024,1955,69,0.599504757564034,Independent Baptist
2024,1951,73,2.13510406840531,Other Methodist
2024,1951,73,2.13510406840531,Other Presbyterian
2024,1964,60,0.929345281926034,Natl. Baptist Convention
2024,1965,59,1.39768799103541,Baptist Miss. Association
2024,1977,47,0.462592198290438,United Methodist
2024,1960,64,0.186076628814813,ABCUSA
2024,1960,64,0.186076628814813,Disciples of Christ
2024,1949,75,0.526983131564955,Other Nondenom
2024,1995,29,0.837792846460554,Nondenom Evangelical
2024,1959,65,0.811495022565604,Other Christian Church
2024,1953,71,0.801294513598929,United Methodist
2024,1950,74,0.627438435604635,Nondenom Evangelical
2024,1949,75,0.216352374599951,Nondenom Fundamentalist
2024,1971,53,0.358728637707689,Other Nondenom
2024,1971,53,0.358728637707689,Other Christian Church
2024,1959,65,1.33433464779843,Independent Baptist
2024,1951,73,0.926283567566125,Church of Christ
2024,1945,79,0.332173827289071,Nondenom Evangelical
2024,1972,52,0.146784657833943,Lutheran - Missouri Synod
2024,1957,67,1.0006474037037,United Methodist
2024,1968,56,0.224338855548862,Southern Baptist
2024,1968,56,1.64938287672543,Baptist General Conference
2024,1968,56,1.64938287672543,Nondenom Charismatic
2024,1958,66,0.697040434975807,ELCA
2024,1973,51,1.20467439397817,Southern Baptist
2024,1959,65,0.381925158841684,United Methodist
2024,1988,36,3.60849883216108,Nondenom Evangelical
2024,1963,61,0.0501804242219552,African Methodist Episcopal
2024,1963,61,0.0501804242219552,Nondenom Evangelical
2024,1950,74,0.345040915640571,Other Lutheran
2024,1946,78,0.0214919907094238,Independent Baptist
2024,1946,78,0.0214919907094238,United Methodist
2024,1962,62,0.388567391458903,United Methodist
2024,1951,73,0.490431356652097,Other Cong.
2024,1989,35,1.04143053594756,Other Baptist
2024,1960,64,0.120748401504321,Seventh Day Adventist
2024,1996,28,0.0652696319305924,PCA
2024,1941,83,1.42155605830624,United Methodist
2024,1971,53,0.797358756597479,ABCUSA
2024,1940,84,0.726264250234782,Southern Baptist
2024,1952,72,0.843569573218093,PCUSA
2024,1986,38,0.472378316679364,Independent Baptist
2024,1950,74,0.70412507284279,Christian Methodist Episcopal
2024,1950,74,0.70412507284279,ELCA
2024,1948,76,0.524268746384429,Southern Baptist
2024,1948,76,0.524268746384429,Interdenominational
2024,1956,68,6.03811095963921,Other Methodist
2024,1956,68,6.03811095963921,Interdenominational
2024,1989,35,0.148336240466452,Other Baptist
2024,1993,31,3.11328748369699,Four Square Gospel
2024,1955,69,0.548907835484297,ELCA
2024,1961,63,1.77252808838406,ABCUSA
2024,1942,82,0.92727486732655,Nondenom Evangelical
2024,1988,36,0.925295374589407,Community Church
2024,1970,54,0.873890330866711,Community Church
2024,1959,65,0.699430201142599,Natl. Baptist Convention
2024,1994,30,3.06910705928563,Nondenom Charismatic
2024,1963,61,0.394150035273204,ELCA
2024,1963,61,0.394150035273204,Disciples of Christ
2024,1981,43,0.296752184211141,Nondenom Evangelical
2024,1962,62,0.77683132824402,Southern Baptist
2024,1966,58,0.502056761310804,Southern Baptist
2024,1995,29,1.07106445274002,Nondenom Charismatic
2024,1966,58,1.18539680494564,Southern Baptist
2024,1947,77,0.413774505741663,United Methodist
2024,1996,28,0.00945483067739178,United Church of Christ
2024,1959,65,0.314381422196792,Independent Baptist
2024,1969,55,0.734132170707348,United Methodist
2024,1993,31,0.408350124533312,Nondenom Charismatic
2024,1957,67,0.460697487797487,Nondenom Evangelical
2024,1957,67,0.460697487797487,Assemblies of God
2024,1966,58,0.781679500354301,Pentecostal Church of God
