year,birthyr,weight,baptist,methodist,nondenom,lutheran,presbyterian,pentecostal,episcopal,christian,congregational,holiness,reformed,adventist
2024,1962,0.956415012231476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1953,7.62846692707561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1996,0.0392447557054716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1988,1.34928250492968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1996,0.411120735780609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1993,1.76869141226272,NA,NA,90,NA,NA,NA,NA,NA,NA,90,NA,NA
2024,1967,0.0578155394382203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1964,0.496216425511366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1957,0.40594685850136,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1968,2.49266510754912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1969,1.1411195857535,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1954,0.703065765988379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1988,0.933584963292023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1989,0.990593657807476,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1951,0.954669728553527,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1995,1.90421342807349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1951,0.319605136853238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1981,0.594648463318508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1965,1.27302041524807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,2001,0.958561856744398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1975,0.460850846509678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1946,0.817743617490564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1984,0.048330651895641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2024,1947,0.0309653744524676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1965,0.0362771415191148,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1951,0.666964953581892,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1946,0.648710590585803,NA,1,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1985,2.05907127845697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1952,0.901519107656723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1960,0.54893506932417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1957,4.56284844072784,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1983,0.934374324924225,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2024,1957,0.244444561932495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1968,0.465335271780734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1995,2.28474063006311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1988,2.9397295227874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1986,2.2610527202695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1956,1.34492881680945,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2024,1983,0.204864039002936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1952,0.749204676292136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1967,0.674759605432569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1966,1.15766073922035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1966,0.559518009259325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1961,0.00684969799927064,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1995,0.00619600135092193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1954,0.588193873926315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1972,0.0278259630114172,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,2006,0.00567274891575929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1953,0.37801162218072,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2024,1972,0.604486801510812,NA,NA,NA,NA,90,90,NA,NA,NA,NA,NA,NA
2024,2000,0.420675815924968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1992,2.66884543237116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1953,0.395640556559628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1950,1.06753454621464,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2024,1991,0.553971672803051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1982,1.77246266643324,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1942,1.34180306120121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1993,3.70443544319812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1985,1.31067269755144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1952,0.815503301097224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1960,0.220853172275756,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1980,0.36719733375681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1955,0.481025210451475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1958,1.15438057084775,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1973,0.546232176878994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1973,0.604486801510812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1952,0.608309123394455,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1982,0.352833265211919,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2024,1991,0.0988082858314387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1947,0.483445965837698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1969,1.27302041524807,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2024,1942,0.703024309264447,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA
2024,1964,0.398205267035399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1960,1.6420396890029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1967,0.78092027906549,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1994,0.963960654370381,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2024,1964,1.57075595647014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1957,0.960698489490193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1960,0.574088353778535,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1963,0.1284917854078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1981,2.44644014914634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1960,1.10504782111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1967,0.222041570836289,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1977,0.349690352375431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1954,0.454333047403682,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2024,1950,0.160580016169997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,2005,0.12159522971774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1954,0.459583325260664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1950,0.512069574861196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1959,0.916377216300623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1948,0.758465047694107,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2024,1948,0.478058951667974,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1981,0.205564757332393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1971,2.97330186270061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1944,0.527359145441109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,1952,0.373942110113471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
